,object  ,precipitant,Effect,Related Drugs,Options
27,LOVASTATIN,VORICONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
28,LOVASTATIN,FLUCONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
29,PRAVASTATIN,ITRACONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
30,PRAVASTATIN,KETOCONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
31,PRAVASTATIN,POSACONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
32,PRAVASTATIN,VORICONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
33,PRAVASTATIN,FLUCONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
34,ROSUVASTATIN,ITRACONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
35,ROSUVASTATIN,KETOCONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
36,ROSUVASTATIN,POSACONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
37,ROSUVASTATIN,VORICONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
38,ROSUVASTATIN,FLUCONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
39,SIMVASTATIN,ITRACONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
40,SIMVASTATIN,KETOCONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
41,SIMVASTATIN,POSACONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
42,SIMVASTATIN,VORICONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
43,SIMVASTATIN,FLUCONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
44,TAMOXIFEN,BUPROPION,Decreased clinical effectiveness of tamoxifen (decreased disease-free survival); people with “normal” CYP2D6 activity (extensive metabolizers) would be at risk of this interaction,"·Citalopram (Celexa®), desvenlafaxine (Pristiq®), escitalopram (Lexapro®), and sertraline (Zoloft®), are weak inhibitors of CYP2D6 ·Fluvoxamine (Luvox®) and venlafaxine (Effexor®) do not significantly inhibit CYP2D6","Take Precautions ·Consider Alternatives: Preferable antidepressant alternatives are citalopram, desvenlafaxine, escitalopram, fluvoxamine, sertraline, and venlafaxine."
45,TAMOXIFEN,DULOXETINE,Decreased clinical effectiveness of tamoxifen (decreased disease-free survival); people with “normal” CYP2D6 activity (extensive metabolizers) would be at risk of this interaction,"·Citalopram (Celexa®), desvenlafaxine (Pristiq®), escitalopram (Lexapro®), and sertraline (Zoloft®), are weak inhibitors of CYP2D6 ·Fluvoxamine (Luvox®) and venlafaxine (Effexor®) do not significantly inhibit CYP2D6","Take Precautions ·Consider Alternatives: Preferable antidepressant alternatives are citalopram, desvenlafaxine, escitalopram, fluvoxamine, sertraline, and venlafaxine."
46,TAMOXIFEN,FLUOXETINE,Decreased clinical effectiveness of tamoxifen (decreased disease-free survival); people with “normal” CYP2D6 activity (extensive metabolizers) would be at risk of this interaction,"·Citalopram (Celexa®), desvenlafaxine (Pristiq®), escitalopram (Lexapro®), and sertraline (Zoloft®), are weak inhibitors of CYP2D6 ·Fluvoxamine (Luvox®) and venlafaxine (Effexor®) do not significantly inhibit CYP2D6","Take Precautions ·Consider Alternatives: Preferable antidepressant alternatives are citalopram, desvenlafaxine, escitalopram, fluvoxamine, sertraline, and venlafaxine."
47,TAMOXIFEN,PAROXETINE,Decreased clinical effectiveness of tamoxifen (decreased disease-free survival); people with “normal” CYP2D6 activity (extensive metabolizers) would be at risk of this interaction,"·Citalopram (Celexa®), desvenlafaxine (Pristiq®), escitalopram (Lexapro®), and sertraline (Zoloft®), are weak inhibitors of CYP2D6 ·Fluvoxamine (Luvox®) and venlafaxine (Effexor®) do not significantly inhibit CYP2D6","Take Precautions ·Consider Alternatives: Preferable antidepressant alternatives are citalopram, desvenlafaxine, escitalopram, fluvoxamine, sertraline, and venlafaxine."
48,WARFARIN,AMIODARONE,Increased warfarin concentrations and bleeding risk,·Not applicable,"Take Precautions ·Monitor: Increase the frequency of INR monitoring when amiodarone is started, stopped, or changed in dosage. The maximal effect of the interaction can take 8-12 weeks. The warfarin dosage may need to be reduced by 30%-50% during concurrent therapy. For patients stabilized on amiodarone, begin warfarin therapy with conservative doses until response is established."
49,WARFARIN,FLUCONAZOLE,Increased warfarin concentrations and bleeding risk,"·Itraconazole (Sporanox®), ketoconazole (Nizoral®), posaconazole (Noxafil®), terbinafine (Lamisil®) do not appear to inhibit CYP2C9","Usually Avoid ·Consider Alternatives: Itraconazole, ketoconazole, posaconazole, and terbinafine are preferable alternatives. ·Monitor: Carefully monitor for an altered warfarin response if an interacting azole antifungal is started, stopped, or changed in dosage. A change in the warfarin dosage may be necessary. For patients already receiving one of the precipitant drugs, begin warfarin therapy with conservative doses until response is established."
50,WARFARIN,MICONAZOLE,Increased warfarin concentrations and bleeding risk,"·Itraconazole (Sporanox®), ketoconazole (Nizoral®), posaconazole (Noxafil®), terbinafine (Lamisil®) do not appear to inhibit CYP2C10","Usually Avoid ·Consider Alternatives: Itraconazole, ketoconazole, posaconazole, and terbinafine are preferable alternatives. ·Monitor: Carefully monitor for an altered warfarin response if an interacting azole antifungal is started, stopped, or changed in dosage. A change in the warfarin dosage may be necessary. For patients already receiving one of the precipitant drugs, begin warfarin therapy with conservative doses until response is established."
51,WARFARIN,VORICONAZOLE,Increased warfarin concentrations and bleeding risk,"·Itraconazole (Sporanox®), ketoconazole (Nizoral®), posaconazole (Noxafil®), terbinafine (Lamisil®) do not appear to inhibit CYP2C11","Usually Avoid ·Consider Alternatives: Itraconazole, ketoconazole, posaconazole, and terbinafine are preferable alternatives. ·Monitor: Carefully monitor for an altered warfarin response if an interacting azole antifungal is started, stopped, or changed in dosage. A change in the warfarin dosage may be necessary. For patients already receiving one of the precipitant drugs, begin warfarin therapy with conservative doses until response is established."
